event_id,run_id,frame_num,video_time_s,overtaker_group_id,overtaken_group_id,created_at_utc
117,9,577,19.252566666666667,45,71,2025-11-20T23:35:38.745046+00:00
116,9,474,15.8158,26,71,2025-11-20T23:38:32.914877+00:00
123,9,564,18.8188,45,71,2025-11-21T03:25:09.893527+00:00
124,9,684,22.8228,50,71,2025-11-21T03:25:43.822822+00:00
121,9,444,14.8148,24,71,2025-11-21T03:27:00.102242+00:00
122,9,474,15.8158,26,71,2025-11-21T03:27:32.342089+00:00
117,9,577,19.252566666666667,45,71,2025-11-21T03:34:25.652687+00:00
116,9,474,15.8158,26,71,2025-11-21T03:44:12.705774+00:00
