Year,Road_Type,Run_ID,Video_Name,Event_ID,Frame_Num,Overtaker_ID,Travel_Direction,x1,y1,x2,y2,Has_Speed_Profile
2025,non_widened,1,1_20250727_000G2664_bike_clips.mp4,285,47,309,B,1333.426025390625,344.2756652832031,1376.0689697265625,375.7574157714844,1
2025,non_widened,20,1_20250803_000G2796_bike_clips.mp4,391,532,170855,B,1359.8895263671875,280.8699951171875,1388.189453125,304.343505859375,1
2025,widened,100006,1_20250705_000G2187 Masaaki Sakai_bike_clips.mp4,356,380,1219969,F,899.3895874023438,494.04107666015625,1140.9986572265625,717.8387451171875,1
2025,widened,100008,1_20250705_000G2218 Masaaki Sakai_bike_clips.mp4,361,888,1234499,B,1141.1861572265625,563.1602172851562,1288.1531982421875,680.6016845703125,1
2025,widened,100008,1_20250705_000G2218 Masaaki Sakai_bike_clips.mp4,362,981,1234960,B,1108.4774169921875,546.6954345703125,1288.9962158203125,696.8350219726562,1
2025,widened,100008,1_20250705_000G2218 Masaaki Sakai_bike_clips.mp4,363,1070,1235463,B,991.0247802734375,566.7514038085938,1196.9736328125,723.4813232421875,1
2025,widened,100008,1_20250705_000G2218 Masaaki Sakai_bike_clips.mp4,364,1346,1236847,B,402.4579162597656,549.585205078125,875.1770629882812,857.4880981445312,1
2025,widened,100009,1_20250705_000G2227 Masaaki Sakai_bike_clips.mp4,374,678,1250004,B,1275.1038818359375,565.5543212890625,1380.4991455078125,662.1329956054688,1
2025,widened,100009,1_20250705_000G2227 Masaaki Sakai_bike_clips.mp4,375,690,1250071,B,1251.32421875,566.9813232421875,1370.3245849609375,670.6807250976562,1
2025,widened,100009,1_20250705_000G2227 Masaaki Sakai_bike_clips.mp4,376,864,1251056,B,925.2083129882812,568.5625610351562,1154.9801025390625,748.2500610351562,1
2025,widened,100022,1_20250712_000G2317 境_bike_clips.mp4,392,1419,1401487,B,1246.3807373046875,406.7887878417969,1396.24853515625,518.641845703125,1
2025,widened,100026,1_20250712_000G2345 境井雅章_bike_clips.mp4,393,442,1435457,F,993.7225952148438,570.8176879882812,1150.8377685546875,688.7267456054688,1
2025,widened,100026,1_20250712_000G2345 境井雅章_bike_clips.mp4,394,447,1435472,F,1018.37255859375,570.596435546875,1168.65234375,684.0333862304688,1
2025,widened,100026,1_20250712_000G2345 境井雅章_bike_clips.mp4,395,452,1435485,F,1039.7510986328125,570.7337036132812,1183.7816162109375,680.1263427734375,1
2025,widened,100027,1_20250712_000G2347 境井雅章_bike_clips.mp4,396,388,1441429,F,995.6904296875,548.891845703125,1165.9998779296875,695.3062744140625,1
2025,widened,100027,1_20250712_000G2347 境井雅章_bike_clips.mp4,397,392,1441449,F,1018.593017578125,550.9598388671875,1181.0643310546875,690.5545654296875,1
2025,widened,100027,1_20250712_000G2347 境井雅章_bike_clips.mp4,398,398,1441479,F,1045.2147216796875,552.2921142578125,1198.5501708984375,684.9546508789062,1
2025,widened,100027,1_20250712_000G2347 境井雅章_bike_clips.mp4,399,413,1441554,F,1094.198974609375,557.596923828125,1222.6727294921875,672.2153930664062,1
2025,widened,100032,1_20250712_000G2381 境井雅章_bike_clips.mp4,400,1009,1478416,B,1091.442138671875,562.120361328125,1268.206787109375,706.6629638671875,1
2025,widened,100033,1_20250712_000G2389 境井雅章_bike_clips.mp4,401,968,1488000,B,1101.006591796875,562.933837890625,1247.7908935546875,686.9293823242188,1
2025,widened,100033,1_20250712_000G2389 境井雅章_bike_clips.mp4,402,981,1488060,B,1063.141357421875,557.6162109375,1229.430419921875,698.771240234375,1
2025,widened,100033,1_20250712_000G2389 境井雅章_bike_clips.mp4,403,1018,1488226,B,1115.483154296875,538.261474609375,1269.7879638671875,704.3612670898438,1
2025,widened,100033,1_20250712_000G2389 境井雅章_bike_clips.mp4,404,1075,1488485,B,1089.7269287109375,584.53125,1229.7615966796875,722.5211791992188,1
2025,widened,100038,1_20250713_000G2401 境井雅章_bike_clips.mp4,406,900,1520465,B,1145.47802734375,463.042724609375,1268.442138671875,596.3832397460938,1
2025,widened,100038,1_20250713_000G2401 境井雅章_bike_clips.mp4,405,914,1520510,B,1095.46728515625,457.8704833984375,1235.809326171875,610.2394409179688,1
2025,widened,100045,1_20250713_000G2428 境井雅章_bike_clips.mp4,407,1281,1581616,B,942.7373046875,452.88629150390625,1139.168701171875,630.951171875,1
2025,widened,100046,1_20250713_000G2431 境井雅章_bike_clips.mp4,410,541,1592316,B,1197.771484375,478.05364990234375,1300.29248046875,572.3721313476562,1
2025,widened,100046,1_20250713_000G2431 境井雅章_bike_clips.mp4,408,695,1593443,B,899.6437377929688,490.740234375,1126.0838623046875,650.7561645507812,1
2025,widened,100046,1_20250713_000G2431 境井雅章_bike_clips.mp4,409,699,1593474,B,871.6740112304688,489.959716796875,1111.7000732421875,659.3812255859375,1
2025,widened,100046,1_20250713_000G2431 境井雅章_bike_clips.mp4,411,903,1594990,B,343.75189208984375,455.2156677246094,686.2057495117188,837.5193481445312,1
2025,widened,100047,1_20250713_000G2432 境井雅章_bike_clips.mp4,412,409,1601966,F,897.963623046875,454.9477844238281,1079.3660888671875,616.852294921875,1
2025,widened,100047,1_20250713_000G2432 境井雅章_bike_clips.mp4,413,416,1601998,F,936.4536743164062,457.3408508300781,1104.066162109375,609.8641357421875,1
2025,widened,100047,1_20250713_000G2432 境井雅章_bike_clips.mp4,414,419,1602012,F,953.4036254882812,458.7500305175781,1113.68212890625,605.877685546875,1
2025,widened,100047,1_20250713_000G2432 境井雅章_bike_clips.mp4,415,438,1602108,F,1030.695556640625,464.1165771484375,1162.83740234375,589.4264526367188,1
2025,widened,100052,1_20250713_000G2450 境井雅章_bike_clips.mp4,420,1497,1643353,B,1197.4326171875,488.49810791015625,1302.7279052734375,575.3396606445312,1
2025,widened,100052,1_20250713_000G2450 境井雅章_bike_clips.mp4,421,1500,1643386,B,1190.611328125,489.8792419433594,1298.0728759765625,577.710205078125,1
2025,widened,100052,1_20250713_000G2450 境井雅章_bike_clips.mp4,416,1501,1643405,B,808.1148681640625,480.6795349121094,1044.14013671875,696.70068359375,1
2025,widened,100052,1_20250713_000G2450 境井雅章_bike_clips.mp4,417,1504,1643440,B,776.8048095703125,476.468505859375,1035.7430419921875,704.9806518554688,1
2025,widened,100052,1_20250713_000G2450 境井雅章_bike_clips.mp4,418,1506,1643464,B,749.5755004882812,475.52294921875,1022.3486328125,711.7603149414062,1
2025,widened,100052,1_20250713_000G2450 境井雅章_bike_clips.mp4,419,1519,1643596,B,541.317138671875,467.60211181640625,930.6416015625,765.0042724609375,1
